state,city,project_name,domain,status,amount_raw,amount_usd,description
Michigan,Detroit,Federal Transit Formula Grants (MI-2022-026-00),Transport Emissions,Unknown,"$617,099",617099.0,"This grant provides formula funding for public transit operations and improvements, reducing transport emissions."
Michigan,Detroit,Federal Transit Formula Grants (MI-2018-014),Transport Emissions,Unknown,"$691,873",691873.0,"This grant provides formula funding for public transit operations and improvements, reducing transport emissions."
Michigan,Detroit,"Federal Transit - Formula Grants - Section 5307 and section 5339 Bus Purchase & Repair, Surveillance and Security, Planning and Preventive Maintenance Grant",Transport Emissions,Unknown,"$11,410,152",11410152.0,"This grant supports bus purchase and repair, contributing to public transit infrastructure and potentially fleet electrification to reduce transport emissions."
Michigan,Detroit,Enhanced Mobility of Seniors and Individuals with Disabilities - Section 5310 ADA Paratransit,Transport Emissions,Unknown,"$7,370",7370.0,"This grant supports paratransit services, enhancing public transit options and reducing transport emissions."
Michigan,Detroit,National Priority Safety Programs - Detroit Safe Routes Ambassador Program (2025-PB-02-00),Transport Emissions,Unknown,Not stated,,
Michigan,Detroit,National Clean Diesel Emissions Reduction Program,Transport Emissions,In Progress,"$315,747",315747.0,"This program aims to reduce harmful diesel emissions from vehicles, contributing to cleaner air and reduced transport emissions."
Michigan,Detroit,State Energy Program,Energy Efficiency,In Progress,"$17,770",17770.0,"This program supports state-level initiatives related to energy, likely including efficiency measures and renewable energy."
Michigan,Detroit,Energy Efficiency and Conservation Block Grant (EECBG) Program Grant,Energy Efficiency,In Progress,"$37,508",37508.0,This grant funds projects specifically designed to improve energy efficiency and promote energy conservation.
Michigan,Detroit,Obligation to remove underground storage tanks,Waste Management,Planned,"$1,728,900",1728900.0,"This project involves recognizing a liability for the future removal of underground storage tanks, which is a form of solid waste management."
Michigan,Saugatuck,Bike path improvements,Transport Emissions,Completed,"$93,947",93947.0,"This project involved improving bike paths, which reduces transport emissions by promoting active transportation."
Michigan,Saugatuck,Recycling,Waste Management,In Progress,"$4,853",4853.0,"This project involves expenditures for recycling services, which is a core component of waste management."
Michigan,Rockford,reconstruction of the signal and intersection at Main St. and Division St,Transport Emissions,Completed,"$213,860",213860.0,"This project involved signal modernization, which can improve traffic flow and reduce vehicle idling, thereby decreasing transport emissions."
Michigan,Rockford,reengineer and install a new traffic signal with pedestrian crossings at Marcell Dr. and 10 Mile Rd.,Transport Emissions,Planned,"$200,000",200000.0,"This project involves installing a new traffic signal and pedestrian crossings, which can improve traffic flow and encourage walking, thereby reducing transport emissions."
Michigan,Rockford,numerous parks and trail upgrades,Transport Emissions,Planned,Not stated,,"This project includes trail upgrades, which can encompass pedestrian paths and bike lanes, encouraging active transportation and reducing transport emissions."
Michigan,Rockford,2018 Capital Improvement Bonds – Street portion,Transport Emissions,In Progress,"$520,000",520000.0,"Debt financing for street capital improvements, which may include infrastructure such as bike lanes or pedestrian paths to reduce transport emissions."
Michigan,Rockford,Major Streets Fund - Traffic control,Transport Emissions,In Progress,"$220,730",220730.0,"Expenditures for traffic control, which may include signal modernization to improve traffic flow and reduce transport emissions."
Michigan,Rockford,2022 Street Construction,Transport Emissions,In Progress,"$278,040",278040.0,"Capital outlay for street construction, which may include infrastructure such as bike lanes or pedestrian paths to reduce transport emissions."
Michigan,Scio Township,replacement of the HVAC system at Township Hall,Energy Efficiency,Planned,"$603,200",603200.0,Replacement of the Township Hall's obsolete HVAC system with a geothermal system for improved energy efficiency.
Michigan,Scio Township,finishing the Zeeb Road Pathway,Transport Emissions,Planned,Not stated,,"Planned capital expense for completing the Zeeb Road Pathway, enhancing pedestrian and bike infrastructure."
Michigan,Scio Township,installation of solar panels at Fire Station #1,Energy Efficiency,Completed,Not stated,,Installation of solar panels at Fire Station #1 in 2023 to provide renewable energy.
Michigan,Scio Township,build a green Fire Station #2,Energy Efficiency,Planned,"not to exceed $13,240,000",13240000.0,"Planned construction of Fire Station #2 in 2026, incorporating geothermal and solar power for energy efficiency."
Michigan,Scio Township,HVAC Replacement,Energy Efficiency,In Progress,"$1,570,000",1570000.0,"This project involves replacing the heating, ventilation, and air conditioning system, which directly relates to energy efficiency."
Michigan,Scio Township,MEDC Zeeb Road Pathways Phase V Project,Transport Emissions,In Progress,"$164,895",164895.0,"This project involves the construction of pathways, which supports non-motorized transport and reduces transport emissions."
Michigan,Scio Township,Park Road Paving and Pathway Improvements,Transport Emissions,In Progress,"$17,990",17990.0,"This project includes improvements to pathways, promoting non-motorized transportation and reducing emissions."
Michigan,Scio Township,Township Hall Park pathway,Transport Emissions,Planned,"approximately $245,000",245000.0,"This project involves the construction of a pathway, supporting non-motorized transport and reducing transport emissions."
Michigan,Pittsfield Charter Township,Renovation of existing restroom building at Montibeller park,Transport Emissions,Completed,"$243,100",243100.0,"This project included a brick paver plaza functioning as a trailhead, promoting non-motorized access to the park."
Michigan,Pittsfield Charter Township,"Sidewalk gap projects and ADA compliant ramp (Waterways, St. James woods, Michigan Ave)",Transport Emissions,Completed,"$166,620",166620.0,"This project addressed missing sidewalk sections and added ADA-compliant ramps, improving pedestrian safety and accessibility."
Michigan,Pittsfield Charter Township,US-12 Wastewater (Sewer) Improvement Project,Waste Management,Completed,"$30,194,950",30194950.0,This project involved designing and constructing a new interceptor sewer and lining existing sections to improve the wastewater collection system's capacity and efficiency.
Michigan,Pittsfield Charter Township,Grewal Park development,Transport Emissions,In Progress,$2 million,2000000.0,"This new park development includes the construction of a new sidewalk along Oak Valley Drive, enhancing pedestrian access."
Michigan,Pittsfield Charter Township,Outdoor fitness park at Marsh View Meadows,Transport Emissions,Planned,"$475,000",475000.0,"This project includes an outdoor fitness park and play structure replacement, enhancing non-motorized recreational opportunities and access."
Michigan,Pittsfield Charter Township,Water and Sewer System Capital Infrastructure (2016 Refunding of 2004 Capital Improvement Serial Bonds),Waste Management,In Progress,"$4,630,000",4630000.0,"This project involves the acquisition and construction of major water and sewer system capital infrastructure, including sewage disposal and treatment, financed by the 2016 Refunding Bonds."
Michigan,Pittsfield Charter Township,Water and Sewer System Capital Infrastructure (2010 Drinking Water Revolving Bonds),Waste Management,In Progress,"$4,854,650",4854650.0,"This project involves the acquisition and construction of major water and sewer system capital infrastructure, including sewage disposal and treatment, financed by the 2010 Drinking Water Revolving Bonds."
Michigan,Pittsfield Charter Township,Water and Sewer System Capital Infrastructure (2021 Capital Improvement Bonds Clean Water Revolving Bonds),Waste Management,In Progress,"$30,000,000",30000000.0,"This project involves the acquisition and construction of major water and sewer system capital infrastructure, including sewage disposal and treatment, financed by the 2021 Capital Improvement Bonds Clean Water Revolving Bonds."
Michigan,Pittsfield Charter Township,Recycle Program Services,Waste Management,In Progress,"$2,003,329",2003329.0,This project accounts for the ongoing services of the city's recycle program.
Michigan,Pittsfield Charter Township,Sidewalk Improvements,Transport Emissions,In Progress,"$4,810,997",4810997.0,"This project accounts for on and off-site sidewalk improvements, enhancing pedestrian paths."
Michigan,Pittsfield Charter Township,Refuse Collection Services,Waste Management,In Progress,"$2,003,329",2003329.0,"This expenditure covers the ongoing public works services for refuse collection, which is a core component of solid waste management."
Michigan,Pittsfield Charter Township,Sidewalk Capital Outlay (Sidewalk Reserve Fund),Transport Emissions,Planned,"$100,000",100000.0,"This capital outlay was budgeted for sidewalks, which serve as pedestrian paths to promote active transportation and reduce transport emissions."
Michigan,Pittsfield Charter Township,Construction of a 10' non-motorized pathway's in the Township (Township Greenways Fund),Transport Emissions,Unknown,Not stated,,"This fund was established for the construction of non-motorized pathways throughout the Township, promoting active transportation and reducing transport emissions."
Michigan,Pittsfield Charter Township,State Road Non-Motorized Pathway Construction (State Street Corridor Fund),Transport Emissions,In Progress,Not stated,,"This fund is dedicated to the construction of a 10' non-motorized pathway on State Road, which promotes active transportation and reduces transport emissions."
Michigan,Southfield,Street construction,Transport Emissions,In Progress,"$14,186,552",14186552.0,"This project involves active construction of streets, contributing to transport infrastructure."
Michigan,Southfield,2015 Street Improvement bond UTGO,Transport Emissions,In Progress,"$3,215,000",3215000.0,This bond provides financing for ongoing street improvements.
Michigan,Southfield,2018 Street Improvement bond UTGO,Transport Emissions,In Progress,"$25,275,000",25275000.0,This bond provides financing for ongoing street improvements.
Michigan,Southfield,2020 Street Improvement bond UTGO,Transport Emissions,In Progress,"$20,905,000",20905000.0,This bond provides financing for ongoing street improvements.
Michigan,Southfield,"Evergreen and Farmington Sewage Disposal System Capital Improvement bonds, series 2018A, City's share of county debt",Waste Management,In Progress,"$2,338,026",2338026.0,"This bond finances capital improvements for the sewage disposal system, which is a form of waste management."
Michigan,Southfield,"Evergreen and Farmington Sewage Disposal System Capital Improvement bonds, series 2023, City's share of county debt",Waste Management,In Progress,"$20,657,131",20657131.0,"This bond finances capital improvements for the sewage disposal system, which is a form of waste management."
Michigan,Southfield,2019 Water and Sewer Capital Improvement bonds,Waste Management,In Progress,"$57,455,000",57455000.0,This bond provides financing for the construction of water and sewer mains and the reconstruction of a portion of the sewage disposal system.
Michigan,Southfield,Brownfield Reimbursement Agreement,Waste Management,In Progress,"committed to contribute $13,300,000 from governmental activities and $6,800,000 from the Water and Sewer Fund to the BRDA",20100000.0,The City committed funds to the Brownfield Redevelopment Authority to pay for developer activities related to environmental remediation of contaminated properties.
Michigan,Southfield,Urban and Community Forestry Program,Energy Efficiency,In Progress,"$10,000",10000.0,"This program supports tree planting and maintenance in urban areas, contributing to environmental health and potentially reducing energy consumption through shade."
Michigan,Southfield,2021 Road Construction Bonds,Transport Emissions,In Progress,approximately $13 million of unspent bond proceeds,13000000.0,"This project involves road construction funded by bonds issued in 2021, with approximately $3.9 million spent during the year and $9.5 million remaining unspent at year-end, impacting transport infrastructure."
Michigan,Southfield,2020 Street Improvement Bonds (Unlimited Tax General Obligations),Transport Emissions,In Progress,Not stated,,"This project involves street improvements funded by bonds issued in 2020, with an arbitrage rebate liability of $376,000 recognized for excess earnings on bond proceeds."
Michigan,Portage,Local Street Reconstruction Projects,Transport Emissions,In Progress,Not stated,,"These projects involve rebuilding local streets, improving road quality and potentially reducing vehicle emissions through smoother traffic flow."
Michigan,Portage,Major Street Construction Projects,Transport Emissions,In Progress,Not stated,,"These projects involve building major streets, enhancing the transport network and potentially improving traffic efficiency."
Michigan,Portage,Austin Lake Trail project,Transport Emissions,In Progress,Not stated,,"This project involves the development of a trail, promoting active transportation like biking and walking, which reduces transport emissions."
Michigan,Portage,Mill and Fill and Chip Sealing (Major Streets),Transport Emissions,In Progress,"$1,170,000",1170000.0,This project involves maintenance activities like mill and fill and chip sealing on major streets to improve road conditions and traffic flow.
Michigan,Portage,Mill and Fill Asphalt Repairs (Local Streets),Transport Emissions,In Progress,"$540,558",540558.0,This project involves maintenance activities like mill and fill asphalt repairs on local streets to improve road conditions and traffic flow.
Michigan,Portage,Reconstruction and Rebuilding City Streets (Municipal Street Fund),Transport Emissions,In Progress,Not stated,,"This fund supports projects for the reconstruction and rebuilding of city streets, enhancing transport infrastructure."
Michigan,Portage,Curbside Recycling,Waste Management,In Progress,Not stated,,"This fund supports the city's curbside recycling program, diverting waste from landfills."
Michigan,Portage,Leaf Pickup/Spring Cleanup,Waste Management,In Progress,Not stated,,"This fund supports the city's leaf pickup and spring cleanup services, managing organic and solid waste."
Michigan,Portage,Infrastructure Capital Asset Additions,Transport Emissions,Completed,Not stated,,"This represents capital asset additions related to general infrastructure, which includes transport-related assets like roads and bridges."
Michigan,Portage,Water/Sewer System Capital Asset Additions,Waste Management,Completed,Not stated,,"This represents capital asset additions related to the water and sewer system, which includes wastewater management infrastructure."
Michigan,Portage,Vehicle Capital Asset Additions,Transport Emissions,Completed,Not stated,,"This represents capital asset additions related to vehicles, which could include fleet electrification efforts to reduce transport emissions."
Michigan,Portage,Major streets,Transport Emissions,In Progress,"$3,072,777",3072777.0,"An ongoing program for the maintenance, repair, and construction of major streets and bridges."
Michigan,Portage,Local streets,Transport Emissions,In Progress,"$1,690,821",1690821.0,"An ongoing program for the maintenance, repair, and construction of local streets."
Michigan,Portage,Municipal streets,Transport Emissions,In Progress,"$994,907",994907.0,"An ongoing program for the maintenance, repair, and construction of municipal streets."
Michigan,Portage,Streets and sidewalks construction commitments,Transport Emissions,In Progress,"Part of $39,284,494 total construction commitments",,Outstanding construction commitments for projects related to streets and sidewalks.
Michigan,Portage,Bikeways and trailways construction commitments,Transport Emissions,In Progress,"Part of $39,284,494 total construction commitments",,Outstanding construction commitments for projects related to bikeways and trailways.
Michigan,Portage,Curbside Recycling Fund,Waste Management,In Progress,"$853,774",853774.0,This fund is dedicated to supporting the city's ongoing curbside recycling program.
Michigan,Portage,Leaf Pickup/Spring Cleanup Fund,Waste Management,In Progress,"$1,550,510",1550510.0,"This fund supports the city's ongoing leaf pickup and spring cleanup programs, which manage organic and solid waste."
Michigan,Portage,Non-motorized Trail Network Expansion,Transport Emissions,In Progress,Not stated,,"The city is continuously expanding its non-motorized trail network, which promotes walking and cycling as alternatives to vehicle use, thereby reducing transport emissions."
Michigan,Portage,Curbside Recycling Program,Waste Management,In Progress,Not stated,,"The city operates an ongoing curbside recycling program, funded by a dedicated millage, to manage solid waste and promote recycling."
Michigan,West Bloomfield Township,Safety Path Bridge Improvements,Transport Emissions,In Progress,Not stated,,"This project involves engineering design for improvements to bridges that are part of the Township's safety path network, enhancing pedestrian and bike infrastructure."
Michigan,West Bloomfield Township,safety path,Transport Emissions,In Progress,"$832,000",832000.0,"Funds were levied for the purpose of a safety path, which contributes to pedestrian and cycling infrastructure."
Michigan,West Bloomfield Township,Household hazardous/waste/recycling/environmental,Waste Management,In Progress,"$269,944",269944.0,"This expenditure covers programs for household hazardous waste, recycling, and other environmental initiatives."
Michigan,West Bloomfield Township,Safety Paths,Transport Emissions,In Progress,"$1,154,625",1154625.0,"This special revenue fund is dedicated to the development and maintenance of safety paths, which are pedestrian infrastructure projects."
Michigan,Royal oak (2),updated Woodward Avenue corridor plan,Transport Emissions,In Progress,Not stated,,"This plan is being developed to focus on pedestrian safety, multimodal access, and a 'safe streets for all' philosophy."
Michigan,Royal oak (2),updated Complete Streets plan,Transport Emissions,Planned,Not stated,,"This plan, with approved funding, will advance safe, accessible, and multimodal transportation and is expected to be completed by the end of fiscal year 2027."
Michigan,Royal oak (2),Planned Major Roads Construction Projects,Transport Emissions,In Progress,Not stated,,These planned construction projects on major roads experienced budget overages and timing delays during the fiscal year.
Michigan,Royal oak (2),Water and Sewer Capital Projects (ARPA-enabled),Waste Management,In Progress,$4 million,4000000.0,"These capital projects for water and sewer infrastructure, funded by ARPA, experienced delays in completion during the fiscal year."
Michigan,Royal oak (2),Roads,Transport Emissions,In Progress,"Spent to Date: $33,145,770, Remaining Commitment: $3,185,992",36331762.0,Active construction project for infrastructure improvements related to roads.
Michigan,Royal oak (2),Sidewalks,Transport Emissions,In Progress,"Spent to Date: $1,719,457, Remaining Commitment: $1,092,337",2811794.0,"Active construction project for infrastructure improvements related to sidewalks, which are pedestrian paths."
Michigan,Royal oak (2),Parking Structure Construction,Transport Emissions,Completed,$13.5 million (2016 bonds) and $16.325 million (2018 bonds),29825000.0,Construction of a parking structure financed by parking revenue bonds to support transport infrastructure.
Michigan,Royal oak (2),New Sidewalk Installation Program,Transport Emissions,In Progress,Not stated,,Ongoing program for the installation of new pedestrian paths to improve transport infrastructure.
Michigan,Royal oak (2),New Metered Kiosk Installation,Transport Emissions,Completed,Not stated,,"Installation of new metered kiosks to control multiple physical parking spaces, modernizing public parking infrastructure."
Michigan,Westland,Various Road and Sidewalk Projects,Transport Emissions,In Progress,$11.0 million,11000000.0,"Investment in road and sidewalk infrastructure, including pavement milling, resurfacing, joint, and crack sealing, to extend their lifespan and support pedestrian movement."
Michigan,Westland,Street lighting,Energy Efficiency,Completed,"$2,378,270",2378270.0,"Expenditures for street lighting infrastructure, which often includes energy-efficient LED upgrades."
Michigan,Westland,"Highway, streets, and drains",Transport Emissions,Completed,"$10,964,402",10964402.0,"Expenditures for the maintenance and improvement of the city's highway, streets, and drainage infrastructure."
Michigan,Westland,State and Community Highway Safety,Transport Emissions,Completed,"$51,904",51904.0,"Federal grant expenditures for programs aimed at improving highway and community safety, which can include traffic flow improvements."
Michigan,Westland,Energy Efficiency and Conservation Block Grant Program,Energy Efficiency,Completed,"$157,059",157059.0,Federal grant expenditures for initiatives explicitly promoting energy efficiency and conservation.
Michigan,Traverse City,4 bridge reconstruction projects,Transport Emissions,Completed,"$1,722,780",1722780.0,"These projects involve the reconstruction of bridges, which are essential infrastructure for transit."
Michigan,Traverse City,Two other bridge construction projects,Transport Emissions,In Progress,Not stated,,"These projects involve the construction of bridges, which are essential infrastructure for transit."
Michigan,Traverse City,Madison/Jefferson Street reconstruction project,Transport Emissions,Completed,"$3,458,382",3458382.0,"This project involves the reconstruction of streets, which are essential infrastructure for transit."
Michigan,Traverse City,8th Street intersections at Cass and Union Streets,Transport Emissions,Completed,"$894,436",894436.0,"This project involves the completion of street intersections, which are essential for efficient transit and traffic flow."
Michigan,Traverse City,Grandview Tart Trail,Transport Emissions,In Progress,"$705,939",705939.0,This project involves continued work on a trail that supports bike lanes and pedestrian paths.
Michigan,Traverse City,Veterans Drive reconstruction,Transport Emissions,In Progress,"$680,975",680975.0,"This project involves the reconstruction of Veterans Drive, which is essential infrastructure for transit."
Michigan,Traverse City,Electric vehicle charging stations,Transport Emissions,In Progress,"$16,970",16970.0,Investment in electric vehicle charging infrastructure to reduce transport emissions.
Michigan,Traverse City,2018 Capital Improvement Bonds Boardman Lake Trail and Sidewalk Improvements,Transport Emissions,Completed,"$5,010,000",5010000.0,"Bonds issued to fund improvements to the Boardman Lake Trail and sidewalks, promoting active transport."
Michigan,Traverse City,"Power supply contract with MPPA for Grainger Electric of Michigan, LLC renewable energy",Energy Efficiency,In Progress,Not stated,,"An ongoing contract to purchase renewable energy from Grainger Electric of Michigan, LLC via MPPA, supporting renewable energy goals."
Michigan,Traverse City,Power supply contract with MPPA for Northern American Natural Resources of Michigan renewable energy,Energy Efficiency,In Progress,Not stated,,"An ongoing contract to purchase renewable energy from Northern American Natural Resources of Michigan via MPPA, supporting renewable energy goals."
Michigan,Traverse City,Commitment with MPPA for Pegasus Wind Farm energy,Energy Efficiency,In Progress,Not stated,,"An ongoing commitment to purchase energy generated from the Pegasus Wind Farm via MPPA, supporting renewable energy goals."
Michigan,Traverse City,Commitment with MPPA for Assembly 1 Solar Farm and Invenergy Solar Farm energy,Energy Efficiency,In Progress,Not stated,,"An ongoing commitment to purchase energy generated from Assembly 1 Solar Farm and Invenergy Solar Farm via MPPA, supporting renewable energy goals."
Michigan,Traverse City,Commitment with MPPA for Assembly II Solar Farm energy,Energy Efficiency,In Progress,Not stated,,"An ongoing commitment to purchase energy generated from Assembly II Solar Farm via MPPA, supporting renewable energy goals."
Michigan,Traverse City,Commitment with MPPA for Calhoun solar and Hart Solar Farm energy,Energy Efficiency,In Progress,Not stated,,"An ongoing commitment to purchase energy generated from Calhoun solar and Hart Solar Farm via MPPA, supporting renewable energy goals."
Michigan,Traverse City,"Purchase power agreement with Heritage Stoney Corners Wind Farm I, LLC",Energy Efficiency,In Progress,Not stated,,"An ongoing agreement to purchase electric energy and renewable energy credits from Heritage Stoney Corners Wind Farm I, LLC, supporting renewable energy goals."
Michigan,Traverse City,"Heritage Sustainable Energy, LLC contract for M-72 solar array",Energy Efficiency,In Progress,Not stated,,"An ongoing contract to purchase electric energy from the M-72 solar array, supporting renewable energy goals."
Michigan,Traverse City,Boot Lake Landfill,Waste Management,In Progress,undetermined,,"The City is undertaking investigatory actions at this former landfill site to determine what clean-up, if any, is necessary."
Michigan,Traverse City,Traverse City Light and Power’s Smart Grid Fiber to the Premise Project,Energy Efficiency,Planned,"$13,460,000",13460000.0,This project involves the development of a Smart Grid and Fiber to the Premise infrastructure to optimize energy distribution and provide communication services.
Michigan,Traverse City,"Streets, alleys and sidewalks",Transport Emissions,In Progress,"870,623",870623.0,"Ongoing maintenance and improvement of urban streets, alleys, and sidewalks to support transport infrastructure."
Michigan,Traverse City,Sidewalk and Trail Debt Retirement,Transport Emissions,Completed,"913,720",913720.0,Annual debt service payments for previously completed projects involving the construction and improvement of sidewalks and trails.
Michigan,Traverse City,Brown Bridge Trust Park Projects,Transport Emissions,In Progress,"1,793,220",1793220.0,"Expenditures for various projects within the Brown Bridge Trust Park, likely including recreational trails and related infrastructure."
Michigan,Traverse City,Boardman Lake Trail Construction,Transport Emissions,In Progress,"(330,000)",330000.0,"Funding transferred out for the ongoing construction of the Boardman Lake Trail, enhancing pedestrian and cycling routes."
Michigan,Sterling Heights,total reconstruction of Mound Road,Transport Emissions,Unknown,Part of over $7 million road funding,,This project involved the total reconstruction of Mound Road to improve transport infrastructure.
Michigan,Sterling Heights,resurfacing of Moravian Road,Transport Emissions,Unknown,Part of over $7 million road funding,,This project involved the resurfacing of Moravian Road to improve transport infrastructure.
Michigan,Sterling Heights,Clinton River Road reconstruction between Hayes and North Van Dyke,Transport Emissions,Unknown,$10 million,10000000.0,"This project involves the reconstruction of Clinton River Road, with engineering underway, to improve transport infrastructure."
Michigan,Sterling Heights,shared-use asphalt path through the ITC corridor,Transport Emissions,Unknown,Not stated,,
Michigan,Sterling Heights,"road repair, replacement and construction programs",Transport Emissions,Unknown,"Spent to Date $69,056,362, Remaining Commitment $16,928,675",85985037.0,"This project involves active construction for the repair, replacement, and construction of roads."
Michigan,Sterling Heights,Oakland-Macomb Interceptor Drainage District (OMID) drain improvements,Waste Management,Unknown,"Construction in progress includes $29,238,674 of drain improvements constructed by the Oakland-Macomb Interceptor Drainage District (OMID), which represents the City’s in-progress portion of total OMID improvements in the amount of $420,850,942.",29238674.0,This project represents the City's in-progress portion of the larger Oakland-Macomb Interceptor Drainage District drain improvements.
Michigan,Sterling Heights,MIDD Project #5624-01,Waste Management,Unknown,Not stated,,
Michigan,Sterling Heights,Refuse and Recycling Program,Waste Management,In Progress,"$8,271,249",8271249.0,"This program covers the city's ongoing operational expenditures for refuse collection and recycling services, as reported in the Refuse/Recycling Fund."
Minnesota,Alexandria,Nokomis Street Improvement,Transport Emissions,In Progress,"$1,792,500 (Total of Spent-to-Date $1,287,363 and Remaining Commitment $505,137)",1792500.0,"This project involves improvements to Nokomis Street, enhancing urban transportation infrastructure."
Minnesota,Alexandria,Pioneer Road Overlay - Engineering,Transport Emissions,In Progress,"$83,812 (Total of Spent-to-Date $61,096 and Remaining Commitment $22,716)",83812.0,"This project covers the engineering phase for the Pioneer Road Overlay, contributing to road infrastructure improvements."
Minnesota,Alexandria,Pioneer Road Overlay,Transport Emissions,In Progress,"$313,824 (Total of Spent-to-Date $286,165 and Remaining Commitment $27,659)",313824.0,"This project involves the physical overlay of Pioneer Road, enhancing road infrastructure."
Minnesota,Alexandria,Runway 13-31 Reconstruction - Design/Engineering,Transport Emissions,In Progress,"$312,300 (Total of Spent-to-Date $256,445 and Remaining Commitment $55,855)",312300.0,"This project covers the design and engineering for the reconstruction of Runway 13-31 at the municipal airport, improving air transport infrastructure."
Minnesota,Alexandria,Westbrook Estates Street & Water Improvements,Transport Emissions,In Progress,"$865,559 (Total of Spent-to-Date $833,129 and Remaining Commitment $32,430)",865559.0,"This project includes street improvements in Westbrook Estates, enhancing local transportation infrastructure."
Minnesota,Alexandria,2024 Local Streets- Engineering,Transport Emissions,In Progress,"$85,260 (Total of Spent-to-Date $75,171 and Remaining Commitment $10,089)",85260.0,"This project provides engineering services for 2024 local street improvements, contributing to urban transport infrastructure."
Minnesota,Alexandria,2025 Local Streets- Engineering,Transport Emissions,In Progress,"$118,401 (Total of Spent-to-Date $14,806 and Remaining Commitment $103,595)",118401.0,"This project provides engineering services for 2025 local street improvements, contributing to urban transport infrastructure."
Minnesota,Alexandria,Electric Distribution Improvements 2024,Energy Efficiency,In Progress,"$1,789,246 (Total of Spent-to-Date $1,047,180 and Remaining Commitment $742,066)",1789246.0,"This project involves improvements to the electric distribution system, which can enhance energy efficiency and support renewable energy integration."
Minnesota,Alexandria,Nature Trail,Transport Emissions,In Progress,"$4,045",4045.0,"This project involves capital outlay for a nature trail, which provides pedestrian path infrastructure to promote active transportation and reduce transport emissions."
Minnesota,Albert lea,Wastewater Treatment Facility (WWTF) Reconstruction and Improvements,Waste Management,In Progress,estimated $80 million dollars in construction,80000000.0,"This major project involves completing designs and preliminary treatment building construction, and the subsequent reconstruction of the wastewater treatment facility to reduce phosphorus in the Shell Rock River, with an estimated total construction cost of $80 million."
Minnesota,Albert lea,Reducing Inflow and Infiltration in Sanitary Sewer System,Waste Management,In Progress,Not stated,,This annual initiative aims to reduce the amount of inflow and infiltration in the city's sanitary sewer system.
Minnesota,Albert lea,"LED Lighting Replacement at City Arena, Marion Ross Theater, and Aquatic Center",Energy Efficiency,In Progress,Not stated,,"This project involves replacing the lighting at the City Arena, Marion Ross Theater, and Aquatic Center with energy-efficient LED systems."
Minnesota,Albert lea,Blue Zones Walkway at Splash Pad,Transport Emissions,In Progress,Not stated,,"This project includes the construction of a Blue Zones Walkway at the Splash Pad, enhancing pedestrian infrastructure in the downtown area."
Minnesota,Albert lea,2024 CIP - Bond Projects,Transport Emissions,In Progress,"$2,985,744",2985744.0,"This project involves capital outlays for public works, likely including transportation infrastructure improvements, funded through 2024 bond projects."
Minnesota,Albert lea,"G.O. Bonds, Series 2020A - Streets Portion",Transport Emissions,In Progress,"$1,225,000",1225000.0,"This project involves financing for street improvements, contributing to transport infrastructure."
Minnesota,Albert lea,"G.O. Bonds, Series 2020A - Bridge Ave Portion",Transport Emissions,In Progress,"$675,000",675000.0,"This project involves financing for improvements on Bridge Avenue, contributing to transport infrastructure."
Minnesota,Albert lea,"G.O. Bonds, Series 2024B - 15 Year Streets Portion",Transport Emissions,Planned,"$1,215,000",1215000.0,"This project involves financing for street improvements over 15 years, contributing to transport infrastructure."
Minnesota,Albert lea,"G.O. Bonds, Series 2024B - 10 Year Streets Portion",Transport Emissions,Planned,"$1,795,000",1795000.0,"This project involves financing for street improvements over 10 years, contributing to transport infrastructure."
Minnesota,Albert lea,"G.O. Bonds, Series 2024B - Arena Solar Portion",Energy Efficiency,Planned,"$465,000",465000.0,"This project involves financing for a solar installation at the arena, promoting renewable energy."
Minnesota,Albert lea,Sweeper Loan,Transport Emissions,In Progress,"$546,297",546297.0,"This project involves a loan for the acquisition of a sweeper vehicle, part of the city's operational fleet."
Minnesota,Albert lea,"G.O. Sewer Revenue Bonds, Series 2024B - WWTP Solar Portion",Energy Efficiency,Planned,"$960,000",960000.0,"This project involves financing for a solar installation at the Wastewater Treatment Plant, promoting renewable energy for municipal operations."
Minnesota,Albert lea,Arena Solar Project,Energy Efficiency,In Progress,"Fund Balance: $503,686",503686.0,This project involves capital project activity related to the installation of solar energy at the City's Arena.
Michigan,Ypsilanti,Harriet to Hawkins,Transport Emissions,In Progress,Not stated,,"This project involves full pavement reconstruction and pedestrian facility upgrades, enhancing transport infrastructure."
Michigan,Ypsilanti,Ballard Street and Freighthouse Parking Lots,Transport Emissions,In Progress,Not stated,,This project involves milling and overlaying parking lots to improve surface conditions for vehicles.
Michigan,Ypsilanti,Frog Island Parking Lot Reconstruction,Transport Emissions,In Progress,Not stated,,"This project involves design engineering for the reconstruction of a parking lot, which is part of transport infrastructure."
Michigan,Ypsilanti,Street construction (Local Road Construction Fund),Transport Emissions,Completed,"$100,000",100000.0,"This project involved expenditures for street construction, improving road infrastructure."
Michigan,Ypsilanti,Street maintenance (Local Road Maintenance Fund),Transport Emissions,Completed,"$100,000",100000.0,"This project involved expenditures for street maintenance, improving road infrastructure."
Michigan,Ypsilanti,Street improvements (Street Improvement Fund),Transport Emissions,Completed,"$100,000",100000.0,"This project involved expenditures for street improvements, enhancing road infrastructure."
